call-raw(us),null-call(us),call-raw-rv(us),null-call-rv(us)
1.17,0.489,3.902,0.246
1.17,0.495,3.899,0.246
1.17,0.487,3.899,0.246
1.17,0.511,3.899,0.246
1.169,0.492,3.885,0.246
1.169,0.497,3.905,0.246
1.169,0.473,3.916,0.246
1.17,0.472,3.901,0.245
1.169,0.471,3.895,0.246
1.17,0.475,3.903,0.246
1.171,0.499,3.893,0.246
1.171,0.487,3.875,0.246
1.171,0.486,3.896,0.246
1.171,0.496,3.897,0.246
1.171,0.495,3.896,0.246
1.171,0.501,3.897,0.246
1.171,0.487,3.897,0.246
1.171,0.498,3.896,0.245
1.171,0.47,3.896,0.246
1.171,0.47,3.896,0.246
1.175,0.527,3.895,0.246
1.175,0.553,3.882,0.246
1.173,0.493,3.897,0.246
1.173,0.505,3.897,0.246
1.173,0.489,3.897,0.246
1.173,0.484,3.897,0.246
1.173,0.5,3.892,0.246
1.173,0.489,3.897,0.245
1.173,0.489,3.896,0.246
1.173,0.501,3.911,0.246
